acc,gyro
1.10822,0.35776
1.67882,0.47642
1.56705,0.44761
1.2838,0.34863
1.12095,0.34751
0.80952,0.33176
0.90066,0.28901
1.02394,0.21645
1.00396,0.22542
1.08033,0.19138
1.08344,0.17213
1.08603,0.16281
1.02499,0.13942
1.01449,0.12467
1.04833,0.11058
1.04531,0.10955
1.01897,0.11101
1.02083,0.11484
0.99799,0.12477
0.98135,0.13817
0.99851,0.13821
0.97439,0.13451
0.99119,0.12891
1.00913,0.11913
1.03444,0.11212
1.03149,0.10843
1.03451,0.10186
1.02915,0.09593
1.00607,0.09752
0.96735,0.10028
0.93974,0.10446
0.98889,0.11497
1.01157,0.13548
1.03184,0.15818
1.06659,0.17994
1.09393,0.19755
1.17914,0.20993
1.20984,0.2188
1.19453,0.22939
1.19596,0.2424
1.19577,0.2557
1.2375,0.27766
1.26392,0.32536
1.26446,0.37186
1.15639,0.38714
1.15517,0.38164
1.31619,0.39912
1.35832,0.42584
1.20194,0.42797
0.96115,0.4132
0.82085,0.36918
0.79067,0.34422
0.60919,0.37739
0.45105,0.3839
0.46668,0.32707
0.49598,0.31374
0.52941,0.38151
0.53359,0.44687
0.65874,0.51562
0.8235,0.5777
0.94679,0.62176
1.04063,0.64955
1.17008,0.66636
1.39453,0.66686
1.43511,0.66524
1.43205,0.68491
1.54919,0.69691
1.65281,0.68302
1.61464,0.65386
1.65167,0.61084
1.51737,0.55975
1.29779,0.46736
1.26047,0.33739
1.24802,0.19143
1.10733,0.13269
1.3487,0.17582
2.30535,0.17041
1.11265,0.38528
1.42595,0.34998
1.35079,0.24347
1.21537,0.26504
0.93308,0.30792
0.85099,0.30168
0.99092,0.23401
0.93944,0.18959
0.92602,0.19332
0.97334,0.18159
0.99795,0.15854
1.01668,0.14453
1.06033,0.13155
1.02386,0.12979
1.04813,0.11395
1.03932,0.09041
1.0349,0.08956
1.00588,0.09922
0.98369,0.09255
0.97495,0.08843
0.96839,0.08597
0.96564,0.08622
0.98396,0.08609
0.99261,0.08614
1.00136,0.08838
1.0234,0.0889
1.01843,0.08748
0.9991,0.08839
1.01277,0.08613
1.01927,0.08674
1.01153,0.08775
1.01584,0.08751
0.99056,0.08829
0.99055,0.09253
0.99658,0.09659
0.98774,0.10555
1.00863,0.11407
1.02473,0.12092
1.02743,0.12965
1.00824,0.14384
1.01994,0.16163
1.03228,0.16955
1.07986,0.19271
1.14381,0.2143
1.11259,0.24704
