acc,gyro
0.58069,0.30227
0.62338,0.33838
0.63259,0.36651
0.62407,0.39463
0.67341,0.42295
0.72042,0.43882
0.77504,0.43906
0.83189,0.42833
0.90399,0.41241
0.93276,0.39329
0.93295,0.37605
0.9691,0.34324
7.7694,0.21249
2.12065,0.31812
1.09035,0.14245
1.5889,0.11076
1.37142,0.12169
0.8297,0.09939
1.14111,0.0488
1.04711,0.01992
1.02126,0.01761
0.99172,0.0253
1.0287,0.04216
1.03059,0.05313
1.00652,0.06429
1.00411,0.07331
1.00633,0.08006
0.98102,0.08452
0.98227,0.08728
1.02791,0.08994
0.97451,0.09224
0.97724,0.09242
0.99774,0.08834
0.96668,0.08189
0.97375,0.07673
0.98239,0.07252
0.97304,0.06464
0.96968,0.04875
0.95431,0.03534
0.96364,0.02519
0.99152,0.01812
1.00486,0.01389
1.01809,0.02456
1.02163,0.02393
0.99958,0.0215
1.02081,0.02632
1.04713,0.03249
1.02794,0.04365
1.00888,0.05409
1.0015,0.06171
0.9973,0.06352
1.00992,0.06738
1.03093,0.06426
1.06714,0.06383
1.09034,0.07013
1.14477,0.07452
1.20044,0.08948
1.18286,0.10163
1.25645,0.12617
1.30101,0.14447
1.30695,0.17513
1.33232,0.21817
1.29745,0.26007
1.22564,0.27078
1.08582,0.24058
0.95257,0.16009
1.01553,0.08862
1.08735,0.11683
1.01117,0.15903
1.13086,0.19471
1.43836,0.22001
1.69122,0.29584
1.57029,0.38514
1.4162,0.43863
1.30024,0.44633
1.18038,0.4032
1.06646,0.34627
0.97662,0.33623
0.91271,0.32285
0.79992,0.31163
0.72286,0.29977
0.67651,0.28434
0.66914,0.26982
0.63906,0.2523
0.6814,0.23613
0.77526,0.23173
0.89556,0.2061
0.97019,0.17532
0.97631,0.15469
1.04643,0.14631
1.11499,0.14175
1.1247,0.14537
1.14612,0.15268
1.11506,0.15849
0.99231,0.17887
0.79373,0.21133
0.71729,0.25569
0.56386,0.29583
0.43722,0.33454
0.36005,0.35598
0.49931,0.38953
0.92796,0.4409
1.06722,0.44066
1.14616,0.39756
1.26243,0.35229
8.82593,0.53416
5.01517,0.49163
3.79264,0.22952
1.46496,0.22186
2.24102,0.0747
0.83209,0.13716
1.0374,0.12239
1.04148,0.05376
0.91756,0.08393
1.25536,0.08752
1.61133,0.11382
2.37411,0.17194
2.68669,0.22941
2.66056,0.34881
2.61671,0.46544
2.41041,0.48169
2.40008,0.27418
1.85409,0.5346
2.48429,0.59866
2.33153,0.66975
2.56418,0.84799
2.59525,0.84405
2.54935,0.69695
2.16809,0.58246
1.56971,0.47937
1.10165,0.46477
0.80223,0.53042
0.76025,0.60705
0.76825,0.69556
1.02825,0.7959
1.05177,0.93184
1.14641,1.0275
1.28974,0.98785
1.96682,0.89169
2.50067,0.71885
2.44109,0.47254
5.14026,0.31993
6.36149,0.53685
4.56712,0.40847
3.49158,0.12919
2.26663,0.21092
1.35243,0.2419
1.34706,0.18008
1.28649,0.10796
1.46846,0.11025
2.14512,0.17611
2.44818,0.20387
2.22927,0.2088
1.93869,0.28929
1.68112,0.35718
1.39574,0.37133
1.26763,0.13065
0.84116,0.4625
1.80811,0.62432
1.33673,0.60907
1.60706,0.6406
1.69148,0.63717
1.75174,0.59698
1.47932,0.54865
1.04737,0.47907
0.70751,0.37032
0.39976,0.27931
0.23259,0.2447
0.25993,0.25855
0.38016,0.3497
0.27065,0.48215
0.29183,0.58703
0.41412,0.67084
0.54075,0.74917
0.71733,0.82641
0.94695,0.925
1.27346,1.03812
1.60633,1.17443
1.95046,1.32673
2.14606,1.44605
2.38151,1.52914
2.54217,1.4834
2.57642,1.31792
2.36001,1.01305
1.98105,0.64196
1.96859,0.34318
1.89694,0.20351
1.28325,0.18654
0.98333,0.19026
1.13037,0.15205
1.2216,0.11138
1.52042,0.16709
1.30567,0.15928
1.01292,0.14354
1.03589,0.17686
1.02863,0.16199
0.99657,0.0802
1.00416,0.05867
1.04127,0.08232
1.02513,0.09995
0.98229,0.09351
0.98007,0.07853
1.01372,0.07554
1.01716,0.08
1.00517,0.08043
0.99353,0.08435
0.9945,0.09176
0.99784,0.09836
1.01829,0.0942
0.9952,0.08663
0.99719,0.10049
